"","PrimaryKey","indicator","nwern_percent","percent","line_length","interval","n_lines","pin_n","difference","group"
"130","15050113465465692016-07-19","PC",37.4052232518955,38.4615384615385,25,200,2,26,-1.05631520964292,"I_200_L_25_N_2"
"131","15050113465465692016-07-19","PC",37.4052232518955,36,50,200,2,50,1.40522325189553,"I_200_L_50_N_2"
"132","15050113465465692016-07-19","PC",37.4052232518955,38.7755102040816,100,200,2,100,-1.3702869521861,"I_200_L_100_N_2"
"133","15050113465465692016-07-19","PC",37.4052232518955,37.3333333333333,25,25,3,300,0.0718899185621993,"I_25_L_25_N_3"
"134","15050113465465692016-07-19","PC",37.4052232518955,33.9527027027027,50,25,3,600,3.45252054919283,"I_25_L_50_N_3"
"135","15050113465465692016-07-19","PC",37.4052232518955,37.4052232518955,100,25,3,1200,0,"NWERN Base"
"136","15050113465465692016-07-19","PC",37.4052232518955,33.3333333333333,25,50,3,150,4.0718899185622,"I_50_L_25_N_3"
"137","15050113465465692016-07-19","PC",37.4052232518955,32.6599326599327,50,50,3,300,4.74529059196288,"I_50_L_50_N_3"
"138","15050113465465692016-07-19","PC",37.4052232518955,36.5319865319865,100,50,3,600,0.873236719909002,"I_50_L_100_N_3"
"139","15050113465465692016-07-19","PC",37.4052232518955,32,25,100,3,75,5.40522325189553,"I_100_L_25_N_3"
"140","15050113465465692016-07-19","PC",37.4052232518955,31.3333333333333,50,100,3,150,6.0718899185622,"I_100_L_50_N_3"
"141","15050113465465692016-07-19","PC",37.4052232518955,38.3838383838384,100,100,3,300,-0.978615131942846,"I_100_L_100_N_3"
"142","15050113465465692016-07-19","PC",37.4052232518955,38.4615384615385,25,200,3,39,-1.05631520964292,"I_200_L_25_N_3"
"143","15050113465465692016-07-19","PC",37.4052232518955,36,50,200,3,75,1.40522325189553,"I_200_L_50_N_3"
"144","15050113465465692016-07-19","PC",37.4052232518955,41.4965986394558,100,200,3,150,-4.09137538756025,"I_200_L_100_N_3"
"145","15050113465465692016-10-24","PC",32.0977253580455,26,25,25,1,100,6.09772535804549,"I_25_L_25_N_1"
"146","15050113465465692016-10-24","PC",32.0977253580455,22.8426395939086,50,25,1,200,9.25508576413687,"I_25_L_50_N_1"
"147","15050113465465692016-10-24","PC",32.0977253580455,25.8227848101266,100,25,1,400,6.27494054791891,"I_25_L_100_N_1"
"148","15050113465465692016-10-24","PC",32.0977253580455,22,25,50,1,50,10.0977253580455,"I_50_L_25_N_1"
"149","15050113465465692016-10-24","PC",32.0977253580455,26.2626262626263,50,50,1,100,5.83509909541923,"I_50_L_50_N_1"
"150","15050113465465692016-10-24","PC",32.0977253580455,31.8181818181818,100,50,1,200,0.279543539863678,"I_50_L_100_N_1"
"151","15050113465465692016-10-24","PC",32.0977253580455,16,25,100,1,25,16.0977253580455,"I_100_L_25_N_1"
"152","15050113465465692016-10-24","PC",32.0977253580455,24,50,100,1,50,8.09772535804549,"I_100_L_50_N_1"
"153","15050113465465692016-10-24","PC",32.0977253580455,25.2525252525253,100,100,1,100,6.84520010552024,"I_100_L_100_N_1"
"154","15050113465465692016-10-24","PC",32.0977253580455,15.3846153846154,25,200,1,13,16.7131099734301,"I_200_L_25_N_1"
"155","15050113465465692016-10-24","PC",32.0977253580455,12,50,200,1,25,20.0977253580455,"I_200_L_50_N_1"
"156","15050113465465692016-10-24","PC",32.0977253580455,22.4489795918367,100,200,1,50,9.64874576620876,"I_200_L_100_N_1"
"157","15050113465465692016-10-24","PC",32.0977253580455,22.5,25,25,2,200,9.59772535804549,"I_25_L_25_N_2"
"158","15050113465465692016-10-24","PC",32.0977253580455,24.1116751269036,50,25,2,400,7.98605023114194,"I_25_L_50_N_2"
"159","15050113465465692016-10-24","PC",32.0977253580455,31.6055625790139,100,25,2,800,0.492162779031588,"I_25_L_100_N_2"
"160","15050113465465692016-10-24","PC",32.0977253580455,29,25,50,2,100,3.09772535804549,"I_50_L_25_N_2"
"161","15050113465465692016-10-24","PC",32.0977253580455,26.2626262626263,50,50,2,200,5.83509909541923,"I_50_L_50_N_2"
"162","15050113465465692016-10-24","PC",32.0977253580455,33.0808080808081,100,50,2,400,-0.983082722762589,"I_50_L_100_N_2"
"163","15050113465465692016-10-24","PC",32.0977253580455,26,25,100,2,50,6.09772535804549,"I_100_L_25_N_2"
"164","15050113465465692016-10-24","PC",32.0977253580455,21,50,100,2,100,11.0977253580455,"I_100_L_50_N_2"
"165","15050113465465692016-10-24","PC",32.0977253580455,27.2727272727273,100,100,2,200,4.82499808531822,"I_100_L_100_N_2"
"166","15050113465465692016-10-24","PC",32.0977253580455,19.2307692307692,25,200,2,26,12.8669561272763,"I_200_L_25_N_2"
"167","15050113465465692016-10-24","PC",32.0977253580455,16,50,200,2,50,16.0977253580455,"I_200_L_50_N_2"
"168","15050113465465692016-10-24","PC",32.0977253580455,24.4897959183673,100,200,2,100,7.60792943967815,"I_200_L_100_N_2"
"169","15050113465465692016-10-24","PC",32.0977253580455,28,25,25,3,300,4.09772535804549,"I_25_L_25_N_3"
"170","15050113465465692016-10-24","PC",32.0977253580455,27.3648648648649,50,25,3,600,4.73286049318063,"I_25_L_50_N_3"
"171","15050113465465692016-10-24","PC",32.0977253580455,32.0977253580455,100,25,3,1200,0,"NWERN Base"
"172","15050113465465692016-10-24","PC",32.0977253580455,26.6666666666667,25,50,3,150,5.43105869137883,"I_50_L_25_N_3"
"173","15050113465465692016-10-24","PC",32.0977253580455,26.5993265993266,50,50,3,300,5.4983987587189,"I_50_L_50_N_3"
"174","15050113465465692016-10-24","PC",32.0977253580455,32.1548821548822,100,50,3,600,-0.057156796836658,"I_50_L_100_N_3"
"175","15050113465465692016-10-24","PC",32.0977253580455,22.6666666666667,25,100,3,75,9.43105869137883,"I_100_L_25_N_3"
"176","15050113465465692016-10-24","PC",32.0977253580455,20.6666666666667,50,100,3,150,11.4310586913788,"I_100_L_50_N_3"
"177","15050113465465692016-10-24","PC",32.0977253580455,29.2929292929293,100,100,3,300,2.8047960651162,"I_100_L_100_N_3"
"178","15050113465465692016-10-24","PC",32.0977253580455,17.9487179487179,25,200,3,39,14.1490074093275,"I_200_L_25_N_3"
"179","15050113465465692016-10-24","PC",32.0977253580455,14.6666666666667,50,200,3,75,17.4310586913788,"I_200_L_50_N_3"
"180","15050113465465692016-10-24","PC",32.0977253580455,25.8503401360544,100,200,3,150,6.24738522199107,"I_200_L_100_N_3"
"181","15050113465465692017-03-29","PC",43.2181971356361,34,25,25,1,100,9.21819713563606,"I_25_L_25_N_1"
"182","15050113465465692017-03-29","PC",43.2181971356361,44.1624365482233,50,25,1,200,-0.944239412587287,"I_25_L_50_N_1"
"183","15050113465465692017-03-29","PC",43.2181971356361,47.2222222222222,100,25,1,400,-4.00402508658616,"I_25_L_100_N_1"
"184","15050113465465692017-03-29","PC",43.2181971356361,54,25,50,1,50,-10.7818028643639,"I_50_L_25_N_1"
"185","15050113465465692017-03-29","PC",43.2181971356361,43.4343434343434,50,50,1,100,-0.216146298707372,"I_50_L_50_N_1"
"186","15050113465465692017-03-29","PC",43.2181971356361,45.4545454545455,100,50,1,200,-2.23634831890939,"I_50_L_100_N_1"
"187","15050113465465692017-03-29","PC",43.2181971356361,36,25,100,1,25,7.21819713563606,"I_100_L_25_N_1"
"188","15050113465465692017-03-29","PC",43.2181971356361,36,50,100,1,50,7.21819713563606,"I_100_L_50_N_1"
"189","15050113465465692017-03-29","PC",43.2181971356361,48.4848484848485,100,100,1,100,-5.26665134921242,"I_100_L_100_N_1"
"190","15050113465465692017-03-29","PC",43.2181971356361,46.1538461538462,25,200,1,13,-2.93564901821009,"I_200_L_25_N_1"
"191","15050113465465692017-03-29","PC",43.2181971356361,40,50,200,1,25,3.21819713563606,"I_200_L_50_N_1"
"192","15050113465465692017-03-29","PC",43.2181971356361,51.0204081632653,100,200,1,50,-7.80221102762925,"I_200_L_100_N_1"
"193","15050113465465692017-03-29","PC",43.2181971356361,37,25,25,2,200,6.21819713563606,"I_25_L_25_N_2"
"194","15050113465465692017-03-29","PC",43.2181971356361,38.5786802030457,50,25,2,400,4.63951693259038,"I_25_L_50_N_2"
"195","15050113465465692017-03-29","PC",43.2181971356361,43.1818181818182,100,25,2,800,0.0363789538178807,"I_25_L_100_N_2"
"196","15050113465465692017-03-29","PC",43.2181971356361,35,25,50,2,100,8.21819713563606,"I_50_L_25_N_2"
"197","15050113465465692017-03-29","PC",43.2181971356361,42.9292929292929,50,50,2,200,0.288904206343133,"I_50_L_50_N_2"
"198","15050113465465692017-03-29","PC",43.2181971356361,42.6767676767677,100,50,2,400,0.541429458868386,"I_50_L_100_N_2"
"199","15050113465465692017-03-29","PC",43.2181971356361,32,25,100,2,50,11.2181971356361,"I_100_L_25_N_2"
"200","15050113465465692017-03-29","PC",43.2181971356361,37,50,100,2,100,6.21819713563606,"I_100_L_50_N_2"
"201","15050113465465692017-03-29","PC",43.2181971356361,46.4646464646465,100,100,2,200,-3.2464493290104,"I_100_L_100_N_2"
"202","15050113465465692017-03-29","PC",43.2181971356361,38.4615384615385,25,200,2,26,4.7566586740976,"I_200_L_25_N_2"
"203","15050113465465692017-03-29","PC",43.2181971356361,44,50,200,2,50,-0.781802864363939,"I_200_L_50_N_2"
"204","15050113465465692017-03-29","PC",43.2181971356361,50,100,200,2,100,-6.78180286436394,"I_200_L_100_N_2"
"205","15050113465465692017-03-29","PC",43.2181971356361,42.3333333333333,25,25,3,300,0.884863802302725,"I_25_L_25_N_3"
"206","15050113465465692017-03-29","PC",43.2181971356361,41.0472972972973,50,25,3,600,2.17089983833876,"I_25_L_50_N_3"
"207","15050113465465692017-03-29","PC",43.2181971356361,43.2181971356361,100,25,3,1200,0,"NWERN Base"
"208","15050113465465692017-03-29","PC",43.2181971356361,41.3333333333333,25,50,3,150,1.88486380230272,"I_50_L_25_N_3"
"209","15050113465465692017-03-29","PC",43.2181971356361,39.3939393939394,50,50,3,300,3.82425774169667,"I_50_L_50_N_3"
"210","15050113465465692017-03-29","PC",43.2181971356361,43.2659932659933,100,50,3,600,-0.0477961303572059,"I_50_L_100_N_3"
"211","15050113465465692017-03-29","PC",43.2181971356361,37.3333333333333,25,100,3,75,5.88486380230272,"I_100_L_25_N_3"
"212","15050113465465692017-03-29","PC",43.2181971356361,40.6666666666667,50,100,3,150,2.5515304689694,"I_100_L_50_N_3"
"213","15050113465465692017-03-29","PC",43.2181971356361,45.4545454545455,100,100,3,300,-2.23634831890939,"I_100_L_100_N_3"
"214","15050113465465692017-03-29","PC",43.2181971356361,41.025641025641,25,200,3,39,2.19255610999503,"I_200_L_25_N_3"
"215","15050113465465692017-03-29","PC",43.2181971356361,42.6666666666667,50,200,3,75,0.551530468969396,"I_200_L_50_N_3"
"216","15050113465465692017-03-29","PC",43.2181971356361,48.2993197278912,100,200,3,150,-5.0811225922551,"I_200_L_100_N_3"
"217","15050113465465692017-08-08","PC",36.3942712721146,46,25,25,1,100,-9.60572872788543,"I_25_L_25_N_1"
"218","15050113465465692017-08-08","PC",36.3942712721146,40.9090909090909,50,25,1,200,-4.51481963697633,"I_25_L_50_N_1"
"219","15050113465465692017-08-08","PC",36.3942712721146,30.379746835443,100,25,1,400,6.01452443667154,"I_25_L_100_N_1"
"220","15050113465465692017-08-08","PC",36.3942712721146,26,25,50,1,50,10.3942712721146,"I_50_L_25_N_1"
"221","15050113465465692017-08-08","PC",36.3942712721146,22.2222222222222,50,50,1,100,14.1720490498924,"I_50_L_50_N_1"
