"","PrimaryKey","gap_class","nwern_percent","nwern_n","nwern_length","total_line_length","length","n","percent","group","n_lines","line_length","percent_difference"
"187","15050113465465692016-07-19","201-Inf",38.9866666666667,33,11696,10000,3745,10,37.45,"L_100_N_1",1,100,1.53666666666666
"188","15050113465465692016-07-19","201-Inf",38.9866666666667,33,11696,20000,7951,23,39.755,"L_100_N_2",2,100,-0.768333333333338
"189","15050113465465692016-07-19","201-Inf",38.9866666666667,33,11696,30000,11696,33,38.9866666666667,"NWERN Base",3,100,0
"190","15050113465465692016-07-19","25-51",5.55333333333333,45,1666,2500,161,4,6.44,"L_25_N_1",1,25,-0.886666666666667
"191","15050113465465692016-07-19","25-51",5.55333333333333,45,1666,5000,384,10,7.68,"L_25_N_2",2,25,-2.12666666666667
"192","15050113465465692016-07-19","25-51",5.55333333333333,45,1666,7500,389,10,5.18666666666667,"L_25_N_3",3,25,0.366666666666666
"193","15050113465465692016-07-19","25-51",5.55333333333333,45,1666,5000,161,4,3.22,"L_50_N_1",1,50,2.33333333333333
"194","15050113465465692016-07-19","25-51",5.55333333333333,45,1666,10000,599,17,5.99,"L_50_N_2",2,50,-0.436666666666667
"195","15050113465465692016-07-19","25-51",5.55333333333333,45,1666,15000,818,22,5.45333333333333,"L_50_N_3",3,50,0.0999999999999988
"196","15050113465465692016-07-19","25-51",5.55333333333333,45,1666,10000,687,19,6.87,"L_100_N_1",1,100,-1.31666666666667
"197","15050113465465692016-07-19","25-51",5.55333333333333,45,1666,20000,979,26,4.895,"L_100_N_2",2,100,0.658333333333332
"198","15050113465465692016-07-19","25-51",5.55333333333333,45,1666,30000,1666,45,5.55333333333333,"NWERN Base",3,100,0
"199","15050113465465692016-07-19","51-101",13.9866666666667,57,4196,2500,517,7,20.68,"L_25_N_1",1,25,-6.69333333333333
"200","15050113465465692016-07-19","51-101",13.9866666666667,57,4196,5000,1050,15,21,"L_25_N_2",2,25,-7.01333333333333
"201","15050113465465692016-07-19","51-101",13.9866666666667,57,4196,7500,825,10,11,"L_25_N_3",3,25,2.98666666666667
"202","15050113465465692016-07-19","51-101",13.9866666666667,57,4196,5000,500,7,10,"L_50_N_1",1,50,3.98666666666667
"203","15050113465465692016-07-19","51-101",13.9866666666667,57,4196,10000,1173,15,11.73,"L_50_N_2",2,50,2.25666666666667
"204","15050113465465692016-07-19","51-101",13.9866666666667,57,4196,15000,2104,28,14.0266666666667,"L_50_N_3",3,50,-0.0400000000000009
"205","15050113465465692016-07-19","51-101",13.9866666666667,57,4196,10000,1592,22,15.92,"L_100_N_1",1,100,-1.93333333333334
"206","15050113465465692016-07-19","51-101",13.9866666666667,57,4196,20000,2604,35,13.02,"L_100_N_2",2,100,0.966666666666665
"207","15050113465465692016-07-19","51-101",13.9866666666667,57,4196,30000,4196,57,13.9866666666667,"NWERN Base",3,100,0
"208","15050113465465692016-07-19","NoGap",1.98,49,594,2500,104,8,4.16,"L_25_N_1",1,25,-2.18
"209","15050113465465692016-07-19","NoGap",1.98,49,594,5000,110,9,2.2,"L_25_N_2",2,25,-0.22
"210","15050113465465692016-07-19","NoGap",1.98,49,594,7500,91,8,1.21333333333333,"L_25_N_3",3,25,0.766666666666667
"211","15050113465465692016-07-19","NoGap",1.98,49,594,5000,104,8,2.08,"L_50_N_1",1,50,-0.0999999999999999
"212","15050113465465692016-07-19","NoGap",1.98,49,594,10000,194,17,1.94,"L_50_N_2",2,50,0.0400000000000003
"213","15050113465465692016-07-19","NoGap",1.98,49,594,15000,279,22,1.86,"L_50_N_3",3,50,0.12
"214","15050113465465692016-07-19","NoGap",1.98,49,594,10000,211,19,2.11,"L_100_N_1",1,100,-0.13
"215","15050113465465692016-07-19","NoGap",1.98,49,594,20000,383,30,1.915,"L_100_N_2",2,100,0.0650000000000002
"216","15050113465465692016-07-19","NoGap",1.98,49,594,30000,594,49,1.98,"NWERN Base",3,100,0
