"","PrimaryKey","indicator","nwern_height","nwern_pin_n","mean_height","line_length","interval","n_lines","pin_n","difference","group"
"183","15050113465465692016-10-24","mean_height",25.5681818181818,150,27,25,8,3,36,-1.43181818181818,"I_8_L_25_N_3"
"184","15050113465465692016-10-24","mean_height",25.5681818181818,150,47.2,25,16,1,6,-21.6318181818182,"I_16_L_25_N_1"
"185","15050113465465692016-10-24","mean_height",25.5681818181818,150,28.1818181818182,25,16,2,12,-2.61363636363637,"I_16_L_25_N_2"
"186","15050113465465692016-10-24","mean_height",25.5681818181818,150,15.5,25,16,3,18,10.0681818181818,"I_16_L_25_N_3"
"187","15050113465465692016-10-24","mean_height",25.5681818181818,150,18.5,25,24,1,4,7.06818181818182,"I_24_L_25_N_1"
"188","15050113465465692016-10-24","mean_height",25.5681818181818,150,17.5,25,24,2,8,8.06818181818182,"I_24_L_25_N_2"
"189","15050113465465692016-10-24","mean_height",25.5681818181818,150,15.0833333333333,25,24,3,12,10.4848484848485,"I_24_L_25_N_3"
"190","15050113465465692016-10-24","mean_height",25.5681818181818,150,21,25,32,1,3,4.56818181818182,"I_32_L_25_N_1"
"191","15050113465465692016-10-24","mean_height",25.5681818181818,150,36.6,25,32,2,6,-11.0318181818182,"I_32_L_25_N_2"
"192","15050113465465692016-10-24","mean_height",25.5681818181818,150,30.75,25,32,3,9,-5.18181818181818,"I_32_L_25_N_3"
"193","15050113465465692016-10-24","mean_height",25.5681818181818,150,16.6666666666667,25,40,1,3,8.90151515151515,"I_40_L_25_N_1"
"194","15050113465465692016-10-24","mean_height",25.5681818181818,150,25.1666666666667,25,40,2,6,0.401515151515149,"I_40_L_25_N_2"
"195","15050113465465692016-10-24","mean_height",25.5681818181818,150,40,25,40,3,9,-14.4318181818182,"I_40_L_25_N_3"
"196","15050113465465692016-10-24","mean_height",25.5681818181818,150,34.3157894736842,50,8,1,25,-8.7476076555024,"I_8_L_50_N_1"
"197","15050113465465692016-10-24","mean_height",25.5681818181818,150,31.0243902439024,50,8,2,50,-5.45620842572062,"I_8_L_50_N_2"
"198","15050113465465692016-10-24","mean_height",25.5681818181818,150,23.1492537313433,50,8,3,75,2.41892808683853,"I_8_L_50_N_3"
"199","15050113465465692016-10-24","mean_height",25.5681818181818,150,39.9,50,16,1,13,-14.3318181818182,"I_16_L_50_N_1"
"200","15050113465465692016-10-24","mean_height",25.5681818181818,150,28.9047619047619,50,16,2,26,-3.33658008658009,"I_16_L_50_N_2"
"201","15050113465465692016-10-24","mean_height",25.5681818181818,150,24.7352941176471,50,16,3,39,0.832887700534759,"I_16_L_50_N_3"
"202","15050113465465692016-10-24","mean_height",25.5681818181818,150,51.6666666666667,50,24,1,9,-26.0984848484848,"I_24_L_50_N_1"
"203","15050113465465692016-10-24","mean_height",25.5681818181818,150,21.6875,50,24,2,18,3.88068181818182,"I_24_L_50_N_2"
"204","15050113465465692016-10-24","mean_height",25.5681818181818,150,26.88,50,24,3,27,-1.31181818181818,"I_24_L_50_N_3"
"205","15050113465465692016-10-24","mean_height",25.5681818181818,150,25,50,32,1,7,0.568181818181817,"I_32_L_50_N_1"
"206","15050113465465692016-10-24","mean_height",25.5681818181818,150,19.5384615384615,50,32,2,14,6.02972027972028,"I_32_L_50_N_2"
